,text,label_x,label_y
0,em được làm fan cứng luôn rồi nè reaction quá hay quá cute coi mấy giờ này quá hợp_lí .,0,0
1,đúng là bọn mắt híp lò_xo thụt bên việt nam cái này ra cách đây năm và bọn gọi là cái .,2,2
2,đậu văn cường giờ giống thằng sida hơn à .,0,0
3,côn_đồ cục_súc vô nhân_tính đề nghi việt_nam . nhà_nước việt nam ban thưởng .,2,2
4,từ lý_thuyết đến thực_hành là cả câu_chuyện dài .,0,0
5,coronavirus is manmade .,0,0
6,đố chúng nhận ra ai .,0,0
7,lúp lúp như chó .,1,1
9,thế_mà mình nói mấy thằng bắc kì bọn đó lại bâu vô nói mình phân_biệt .,2,2
10,được anh ơi lâu rồi không nghe phúc du rap .,0,0
11,cắt cho trẻ trâu bớt thôi mà .,0,0
12,nghe rất vô_lí nhưng cực_kì thuyết_phục .,0,0
13,chán ghê hong có bé mới máu được hâhha .,0,0
14,sao gửi được bây .,0,0
15,thế đấy . làm gì bọn nó . bọn nó có quyền nên làm gì chả được .,0,0
16,loại này cho dựa cột thôi chứ độ thế_nào .,2,2
17,thuong quá di .,0,0
18,dạy bơi cho cá . bơi thì đương_nhiên nó bơi được vì nó là cá . làm_sao cho nó sống được mới là điều người dân đang quan_tâm .,1,1
19,ủa chứ bữa xin_lỗi khóc tế om xòm mà giờ chửi nữa rồi bó_tay con này hỗn quá .,2,2
20,bamtp chạy ngay ddi .,0,0
21,cứ đăng cái ảnh bố con là như rằng bị đổi .,0,0
22,dàn táo năm nay làm chương_trình táo_quân vi hành nhé mọi người phát_sóng tối tết trên vtv .,0,0
23,thật chán với chế_độ quản_lý dân_sinh .,2,2
24,đời vô thường lắm . sống phải tu tâm tích đức cô oi . khẩu nghiệp quá cô ơi .,0,0
25,có ai biết làm cách nào để tìm lại được đồng_đội đồng_chí hay bạn_hữu cùng đơn_vị của người trong bức ảnh không .,0,0
26,sống chậm lại các mày .,0,0
27,chương_trình quảng_cáo xin được bắt_đầu .,0,0
28,nguyễn hữu nhân đớp cả của cháu . thứ mắc dạy .,2,2
29,nhậu cái địt_mẹ chúng_mày lũ chó hại dân hại nước .,2,2
30,thế vinh yasbaga tối_cao .,0,0
31,mài có óc để suy_nghĩ không add cái đồng băng đó mài tính đào hồ bao_nhiêu cho đủ hả thằng ngu .,2,2
32,chuẩn .,0,0
33,chỉ vàng_ngọc như con heo nọc nhà .,2,2
34,phải thầy không ta .,0,0
35,cảnh_sát chính_tả comingg nè .,0,0
36,xuân đương tới nghĩa_là xuân đương qua .,0,0
37,nhìn chúng_nó comment mà đắng bạn à .,0,0
38,ý_thức còn ít hơn cả số tiền trong túi .,1,1
39,em yêu anh từ thuở tóc dài .,0,0
40,theo chân mấy anh hàn quốc rồi .,0,0
41,lương tháng củ thôi à con_trai nhưng bố vẫn ăn tạm cua hoàng đế để sống quá ngày thôi con_trai à .,0,0
42,mệt quá thầy ạ .,0,0
43,gia lộc tran quang còn gì vui hơn cà_khịa .,0,0
44,chị hôm_nay đẹp quá .,0,0
45,xem nè .,0,0
46,việt tiến nghèo là rõ .,0,0
47,xxx video .,1,1
48,thầy đéo xóa_kênh kêu_gọi học_trò report cho bay kênh thiệt luôn .,2,2
49,anh ba láo_nháo là tú xiên giờ .,2,2
50,người_ta bị lường gạt tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la um xùm hà .,0,0
51,tú thích hoa_hồng và mùa đông được quang đâm phía sau mông .,0,0
52,mẹ sao bộ không mở cửa_hàng kinh_doanh bán bình luôn cho dân không lại phạt vì mua phải bình đểu .,2,2
53,cuối_cùng anh đã trở_lại . em tưởng anh biến mất luôn cho em mừng thiệt là tình nội_dung mang tính giải_trí . không có ý anti hay ghét ai .,0,0
54,chi cai gi cung co nhung cai lờ la chi hét kiếp nay cung không bao gio co .,2,2
55,vừa tăng lương phát biết ngay .,0,0
56,ai là cảm_tình diên like .,0,0
57,xin tộc_trưởng hãy cho hiếu lợn thần ra trận đảm_bảo sẽ có chiến_thắng .,0,0
58,đấu_khẩu chim_lợn .,1,1
59,cai miệng nói không sợ bị hậu_quả .,1,1
60,năm rồi à .,0,0
61,đầu thứ tóc rồi mà còn bị trẻ trâu levi lừa .,0,0
62,người mien trung nhu chi ngoi xem cac bac chui nhau thôi .,0,0
63,khắc thành nguyễn phục cái máu lồn .,2,2
64,quan va . dan nhu nhau phai ton trong phap luat . khong thuen vi mot ai .,0,0
65,chúc abe vui_vẻ .,0,0
66,không vào thì lấy đâu ra vốn vay fdi cho các anh đút_túi .,0,0
67,việc nhẹ lương cao mình xin nhường cho những người thất_nghiệp .,0,0
68,if gì .,0,0
69,chào người anh_em .,0,0
70,diệp gia_nghi_nghiệp nó quật chết bao_giờ .,0,0
71,duy khương bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu trị nhé nó còn không cho xét_nghiệm cơ_chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do virus hay không ở ngoài đường mà đeo khẩu_trang bọn anh nó còn đấm vào mặt cho chứ ở đó mà điều_trị .,0,0
72,chứ ông_già .,0,0
73,trương duy không mvp đội mình thì là mvp của đội bạn .,0,0
74,xin video với bạn .,0,0
75,bị gì bị lắm thế .,0,0
76,du_học_sinh úc cơ ấy .,0,0
77,ôi vãi quang .,0,0
78,chờ_đợi nồi bánh_chưng mới được fan cứng nên comment cho không mất chứ không biết chơi ga .,0,0
79,khá khó .,0,0
80,giúp làm_đẹp với . không có điều_kiện . không có khả_năng nhưng thấy có người đẹp rất thích .,0,0
81,thu boo xuất_sắc . nhưng em lại làm mấy bạn kia buồn thêm .,0,0
82,hoan_nghênh ông trần dần có tư_tưởng tiến_bộ không chống cộng_sản việt nam nữa . chỉ có quên đi quá_khứ để yêu_thương . ai cũng về già lo tu thân sám_hối là điều lựa_chọn tốt nhất . chúc ông trần dần sống lâu tuổi và luôn khỏe mạnh đẹp_lão .,0,0
83,mấy thằng già làm_bộ_trưởng này_nọ mà đầu_óc thua cả bác nông_dân .,2,2
84,võ thành nhân huyền_thoại .,0,0
85,sương_mù là tại thiên_tai .,0,0
86,mình không quan_tâm cô_đơn cho lắm .,0,0
87,thế thích làm phù_thủy bạn nam phải làm đây nhỉ .,0,0
88,uầy tôi là cưng phán các ông ạ được vãi ơi .,0,0
89,maruko linh .,0,0
90,ảnh này ở video superheroo nghe buồn não ruột .,0,0
91,anh tik nói quá đúng luôn .,0,0
92,bavi .,0,0
93,ở đây ai là chủ .,0,0
94,minh_mẫn vờ cờ lờ .,1,1
95,chú bòn em chặt chứ không ăn nha .,0,0
96,cực_kì thuyế . hác xì . á chết mẹ .,0,0
97,lee quang tôi toàn nghe nhạc của bùi anh tuấn hà anh tuấn nghe mấy bài này không thấm nổi .,0,0
98,nguyễn trọng thái người_ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không . hay_là đợi thiệp hồng .,0,0
99,có anh độ tết lúc_nào chả vui .,0,0
100,nghe nói trước đây số_thành_phần người hà_nội kì_thị dân vĩnh phúc đúng không nhỉ . bao_giờ sao thì mấy người đó bị lây hết chưa ấy nhỉ .,0,0
101,huy_hoàng .,0,0
102,thảo người thua tại dốt av qua .,0,0
104,dần_dần thấy jack mất hay .,0,0
105,dì ê dì là trai hay gái ạ .,0,0
106,vợ cuốc sư là bùi kim thành còn vợ_nhỏ là lisa phạm .,0,0
107,trước khi cắm lên đầu em cái sừng nó cũng bảo như thế .,0,0
108,éo nha liu liu .,1,1
110,cận thận nhà anh_em .,0,0
111,idol .,0,0
112,duyên phạm ghê nay văn_chương dữ hén .,0,0
113,xin ạ .,0,0
114,hoàng minh .,0,0
115,anh trung magic .,0,0
116,có một sự tồn_tại của đàn bò mang tên cực_kỳ thuyết_phục có sở_thích là nhai đi nhai_lại mục_đích của chúng trên hành_tinh này vẫn chưa có lời_giải_đáp theo như các nhà động_vật_học cho biết loài bò này có lối sống hoang_dâm trụy lạc có_thể động_dục bất_cứ lúc_nào con_số của loài này đang được gia_tăng đáng_kể .,2,2
117,chồng mình là gì á mọi người .,0,0
118,cho toyy xin in facebook hoặc số điện_thoại zalo hay ig được hong .,0,0
119,chị chữi là chị cứu nhân độ thế .,0,0
120,nghi_vấn thầy chà_trộn ttbl tu .,0,0
121,lại hợp sâm clm đến thì ff .,1,1
122,dao chặt không đứt không .,0,0
123,hồng thy cái giọng_điệu nói cảm_thấy hao_hao giống .,0,0
124,nhanh thực_sự .,0,0
125,đồng nhung máy_bay phalcon tỷ belike .,0,0
126,so pre tài_trợ độ tây ngày hôm ngày .,0,0
127,nghe kể chuyện tí rồi làm tiếp thanh le .,0,0
128,hoàng_anh từ tư .,0,0
129,dep trai moi co nhieu dua yeu .,0,0
130,biết các bạn phan cuồng chửi vậy mình đã không nêu ra ý_kiến cá_nhân .,0,0
131,thêm một người bị cộng_sản nhồi_sọ không biết sao có_thể nạo ra được hết chất bã trong đầu .,2,2
132,nghe giọng nứkg quá abe .,1,1
133,ông làm bố tôi hơi lâu rồi đấy tùng sói said .,0,0
134,vì refund top nên tối nay mình xin phép ea . blabla .,0,0
135,anh trung giả kim .,0,0
136,có khả_năng tối nay anh bị ngủ ngoài đường tu bi con tờ niu .,0,0
137,bùn nhở .,0,0
138,pháo_thủ toang con_mẹ nó luôn .,0,0
139,bóng khùng bóng điên .,1,1
140,làm thêm chục củ mở hòm csgo anh êi .,0,0
141,lê huyền người sinh_vật hạ_đẳng chứ ngươi ai lam thế .,2,2
142,cao_lãnh với chúng_tôi làyy .,0,0
143,làm nhẹ cho nó ok .,0,0
145,ặc,0,0
146,ai xin inb tôi đi .,0,0
147,goodnow tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ tôi cam_đoan là như dị .,0,0
148,nhìn chị minh hiếu có duyên hết_sức nói_chuyện rất chân_thật mặc_dù mỗi lần live chửi rất táo_tợn nhưng nghe và nhìn chị ấy rất thánh_thiện và chất . chúc chị luôn vui_khỏe và hp . mong có dịp sẽ được gặp chị .,0,0
149,dễ_thương và duyên quá cô ơi . love cô .,0,0
150,lê thị bích hồng tài_khoản trẩu .,2,2
151,nhớ nuôi kiểu tóc này mới đủ combo nhé anh_em .,0,0
152,chang_chang .,0,0
153,nguyễn trang nói thật mị .,0,0
154,người thì giết mạng . người thì feed tụt lồn .,0,0
155,có pải nổ lực là có được đâu . pải có chút gọi là may_mắn nữa .,0,0
156,panda thái đã xem .,0,0
157,luôn ủng_hộ không atm .,0,0
158,còn bạn này nữa thầy ơi .,0,0
159,giọng cuốn vợ_chồng .,0,0
160,nguyễn đào nguyên .,0,0
161,thế thua gì bác . không công_khai mà cả việt nam điều biết tên nó bác nghĩ người_ta đón được sao .,0,0
162,ai không nghe nói cũng đi ý về .,0,0
163,không có thì sản_xuất ra .,0,0
164,hợp_lí anh ơi .,0,0
165,được anh ui .,0,0
166,con_người sao lại như_vậy .,0,0
167,bảo dan tri thap thì tự_ái .,1,1
168,tại_sao phải trả_lời thầy .,0,0
169,cái trend nghe có vẻ mãi chúng_nó vẫn chưa chán nhỉ .,0,0
170,đang lúc dầu sôi_lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà_nước nuôi tốn cơm tốn gạo .,1,1
171,con nho nay hom truoc chui ong ba cha me ca người việt nam la minh biết no bi ma nhap no truoc khi bi chet . gao thet kinh hon de truoc khi xuong dia nguc .,0,0
172,anh_minh chậm cái con cặc .,2,2
173,reaction thầy ơi .,0,0
174,đoạn đánh răng chiếm quá nhiều thời_gian .,0,0
175,đù dại ghê bọn đấy ngày nào nó cũng lên phường xiên cho nó cái được tiếng luôn vào khám mấy anh_chị cũng thương xiên hết mọi thằng trên phường luôn cho nó sum .,1,1
176,chị cho triệu đi làm chim đi .,0,0
177,tóm lại là chửi nhau phải có văn_hóa thích page rồi đấy .,0,0
178,tiệp .,0,0
179,khi đi nhớ đem theo susan nha thầy .,0,0
180,cái tay cái tay .,0,0
181,vẫn có người tặng quà va len thai cho mình mọi người ạ .,0,0
182,giật cho mất mẹ cả cái mụn ruồi .,0,0
183,tóm lại là con_gái hay trai . bực_mình vãi nhìn hoài không ra .,1,1
184,đào hà văn rinaky chủ_nhật anh_chị ơi cẩn_thận nhé ạ .,0,0
185,điều_kiện hạn_chế viruss phát_tán có_thể là phòng trên độ là cơ_bản . còn mọi thứ điều cis thể . hãy đọc kĩ những bài nói về viruss corona the trang chính_thống nha .,0,0
186,bắt được đừng chữa nhốt vào cho chết luôn . loại này đừng để đẻ trứng .,2,2
187,optimusthree với sức_mạnh .,0,0
189,.,0,0
190,ô thế mọi người không bit à trần dần mắc bệnh từ khi chưa có dịch à . ông này mắc loại bệnh còn nguy_hiểm hơn covid .,0,0
191,đồng_bọn nhỏ đó khi vô tù .,0,0
192,nguyễn thị luận hà_nam cũng vậy .,0,0
193,gáy to thế mày anh .,0,0
194,bảo tín đi du_lịch gặp con gì ngứa ngứa ở biển đã sợ lắm sao xuất_hiện con này nữa .,0,0
