,text,label
0,thu thi em di_duoc .,0
1,giờ nghỉ giữa giờ trực_tiếp lên luôn .,3
2,phần part làm mình khá đau_đầu lúc ôn sợ người_ta trả_lời vòng_vo khi đi thi thì thấy nó trả_lời trực_tiếp luôn chứ không phải suy_nghĩ gì nhiều .,2
3,phòng thực_hành nên nâng_cấp máy_tính .,4
4,giảng_viên nhiệt_tình trong quá_trình giảng_dạy và trả_lời câu hỏi cho sinh_viên giảng_viên khá vui_tính .,2
5,thầy dạy kỹ có tâm .,2
6,cute nhề ước gì cũng được .,3
7,phòng lab chán lắm hư_hỏng hết cả .,4
8,cần có thêm bài_tập về ngữ_pháp .,2
9,chờ_đợi một đêm nữa thôi sự_kiện sinh_nhật tuổi của pmc sẽ chính_thức diễn ra .,9
10,việt nam là quốc_gia duy_nhất trên thế_giới bị mất đảo nhưng đi đòi đảo và chủ_quyền online .,7
11,mới thảo .,3
12,đặc_biệt đối_với khóa ba sẽ được giảm thêm học_phí nữa ạ .,2
13,nhà_trường cần trang_bị máy_chiếu tốt hơn được không ạ .,4
14,cái này có_thể tách riêng thành_công_việc riêng được không phải con robot nào cũng cần ai và con ai phải ở trong con robot .,5
15,giảng_viên dạy dễ hiểu bài_tập được giải chi_tiết kỹ_càng dễ hiểu giảng_viên nhiệt_tình hài_hước .,2
16,cô vui_tính dạy dễ hiểu .,2
17,nhìn quen cũng cuốn cuốn mà .,3
18,mình muốn pass các tài_liệu mình đã học ở kỳ vừa_rồi bao_gồm tổng_hợp kiến_thức bài_tập các chương các dạng bài_tập đề thi giữa kỳ cuối kỳ .,2
19,lúc ấy mình chẳng_thể_nào kìm nổi nỗi buồn trước lời chia_tay không_thể giải_thích cho em hiểu mình òa lên khóc nức_nở .,6
20,nhưng mà nếu các bạn học nhóm trên thư_viện có_thể nói bé đi được không đằng này các bạn ngồi tụm năm tụm ba cười nói rất to không ngừng thậm_chí còn ngồi giữa khuôn_viên của thư_viện cả tầng có mỗi chỗ các bạn phát ra tiếng .,4
21,mọi người tìm số điện_thoại của này trên facebook cũng ra bài viết của chạy grap bị này lừa tiền xe_ôm đấy ạ .,3
22,rất nhiệt_tình khách_quan .,2
23,ngoài việc học vân anh có .,3
24,em mong nhận được câu trả_lời từ thầy cô liên_quan và các bạn đã từng đổi điểm ạ .,2
25,chỉ còn vài ngày nữa thôi là ngày hội định_hướng nghề_nghiệp career orientation day chính_thức diễn ra và có vẻ như sức nóng của sự_kiện này vẫn chưa có dấu_hiệu hạ_nhiệt .,5
26,thả buồn đi .,3
27,chất_lượng cơ_sở vật_chất trường và việc tăng học_phí như hàm nghịch_biến .,4
28,ít làm bài_tập .,2
29,việc lớp điểm số thì cứ tụt dần đều bạn_bè cũng chả ai ưa mà còn cố_tình_báo_hại nhau lớp phó gì mà vô_dụng thế không biết tự_động mà đi in tài_liệu à không biết mua nước thầy cô à không biết giúp_đỡ bạn_bè à chịu chả ai chịu thông_cảm_em đầu_hàng em không giỏi cũng chả nhanh_nhẹn tháo_vát càng chả có tài_năng gì ngoài ăn_hại tết đến lớp thì mặt ai cũng vui như hoa còn mình thì xuống_cấp từng ngày .,2
30,trường nhanh quá đi thôi .,4
31,kiến_thức giảng rất khó hiểu .,2
32,chưa nhiệt_tình lắm .,2
33,thấm phết .,3
34,mọi người ơi giúp em với ạ .,8
35,đụ_mẹ cái ổ ba_que đéo thể tin được mò được vào cái ổ súc_vật thiên_tài vãi lồn .,7
36,cười lăn ra đất .,3
37,mọi người ai học ở zenlish rồi cho mình lời khuyên thật lòng ạ .,2
38,trường này của các bạn sẽ thật ý_nghĩa và rực_rỡ sắc_màu .,3
39,trung quốc thì nó khuyến_khích nâng cao việc học còn việt nam thì nói học ngu thì học làm mẹ gì .,2
40,kiến_thức giảng_viên chưa sâu chưa dạy đúng trọng_tâm có những phần rất cơ_bản nhưng giảng_viên chưa nắm vững .,2
41,nhìn style toi biết ngay có_mặt .,3
42,ngày hôm_nay khoảng ngày khi các thành_viên ban liên_lạc đhsv thanh_hóa đang trở về sau khi đến buổi sinh_hoạt công_dân đầu khóa cổ_vũ tinh_thần thì vô_tình vấp phải thứ xinh_đẹp này dưới đất .,2
43,có cho để xe điện không ạ .,2
44,đừng bảo ai là em đăng đấy nhé .,3
45,ngày khoa toán đã giải_ngân học_bổng kỳ đó cho sinh_viên ngành .,2
46,xét tuyển kết_hợp điện_thoại công_bố kết_quả ngày .,1
47,ngành đời nha .,3
48,mới hà_trang trưởng ban tổ_chức .,9
49,trời cơi .,3
50,như này có phải yên bình không .,3
51,anh cần pass nha .,2
52,địt_mẹ cũng hẹp vãi đi muộn vào lớp cả lớp im luôn mà .,2
53,chúc con vững_vàng và thành_công trong tương lại .,6
54,một_số phòng thực_hành nên thay dàn máy phù_hợp hơn .,4
55,giải_cứu cả bfi ạ .,8
56,đăng_ký tham_gia go finance ngay tại .,9
57,với thông_điệp khai_phá thanh âm trong bạn be proud tune muốn đem đến cho các bạn một nơi để khai_phá những giới_hạn hòa mình và lắng_đọng những âm_thanh của cuộc_sống cất lên thanh âm đẹp_đẽ của bản_thân .,6
58,luôn cho bài_tập cực nhiều .,2
59,cần quan_tâm quy_chế này con .,2
60,và để làm được điều ấy thì việc tham_gia các hoạt_động hội nhóm đoàn hoặc các câu lạc_bộ bộ tổ đội là một phần không_thể thiếu .,9
61,cô hướng_dẫn_nhiệt_tình và tận_tâm với sinh_viên trong môn_học .,2
62,em cũng không có ý_định học trong trường .,2
63,thành_tâm xin vía .,6
64,mở đơn map gen học làm công_việc thuộc chuỗi workshop career mapping .,5
65,tuyển_dụng thực_tập_sinh .,5
66,thể_tích chọn .,3
67,chia_sẻ nỗi đau trước mất_mát của các gia_đình nạn_nhân vụ cháy chung_cư mini .,6
68,nhận bằng cử_nhân của đại_học dongseo hàn quốc một trong những trường đại_học hàng_đầu hàn_quốc .,2
69,thầy giảng rất hay rất tận_tâm với sinh_viên .,2
70,khối_lượng lý_thuyết và thực_hành phải học quá ôm_đồm trong một môn_học .,2
71,anh rất ngưỡng_mộ em về điều này .,6
72,ngoài_ra chúng_mình hy_vọng nếu bạn không may cũng từng có trải nghiệm tồi_tệ như bạn mình hãy chia_sẻ với chúng_mình ở dưới comment hãy dũng_cảm nói ra để bảo_vệ chính bản_thân mình .,6
73,kiến_thức thầy truyền_đạt rất thiết_thực .,2
74,bài đáp_ứng các yêu_cầu xuất nhập_khẩu bền_vững hiệu_quả .,7
75,không chấm bài thì giảng_viên không nên bắt học_sinh nộp bài lên moodle .,2
76,cô nhiệt_tình và có nhiều hoạt_động sinh_động trên lớp .,2
77,giảng_viên thực_hành và lý_thuyết đỗ lỗi cho nhau về chậm_trễ bàn_giao tài_liệu công_cụ thực_hành .,2
78,em là tân_sinh_viên thì nộp hồ_sơ như nào ạ .,4
79,bạn muốn biết thêm về cơ_hội việc_làm và định_hướng bản_thân .,5
80,thầy hướng_dẫn tụi em rất tận_tình .,2
81,khóa mình năm nay có bạn sinh_viên sang học được một tháng thì bị chuyển ít_nhất ký_túc_xá khác nhau với chất_lượng phòng xuống_cấp thậm_tệ .,4
82,thương các quá .,6
83,người đàn_ông gia_trưởng bình_thường nhất ở parky .,7
84,ảnh youth neu medium .,9
85,bạn có hay xuống đấy lựa không .,3
86,em học chăm quá mới quên mà .,2
87,người thanh huớ với người thủ_đô ạ .,3
88,cái máy_chiếu ở giảng_đường quá mờ .,4
