,text,label_x,label_y
0,thời_gian các ngày .,0,3
1,các em out trình mình đá được đâu .,2,3
2,cậu viết bài này đúng không .,0,6
3,ai nhặt được liên_hệ em .,0,8
4,cơ_sở văn_hóa việt_nam .,0,3
5,ba là học để con_cháu bạn_bè người_thân thấy rằng không có gì mà con_người không làm được .,1,6
6,thật không em .,0,3
7,góc tìm roommate nữ .,0,8
8,mình pass à .,0,0
9,thì đừng đi sờ đít bạn khác con_mẹ nhà mày nữa .,3,7
10,ban đối_ngoại_cảm_ơn ynm ạ .,1,8
11,hãy cùng nhau ra sân tiếp lửa và cổ_vũ cho các chàng trai của chúng_ta nhé .,1,9
12,thì ra cái không_khí này là thứ mà chúng_ta không đượt cảm_nhận .,0,3
13,nhận không bạn để mình với .,0,3
14,bộ_phận một cửa thì nộp hồ_sơ online gần tuần vẫn đang trong trạng_thái chờ tiếp_nhận .,2,4
15,em ở câu lạc_bộ khác mà vẫn muốn chạy những sk này có được không ạ .,0,8
16,multi task như vậy bạn có bao_giờ tự hỏi họ làm thế_nào để hoàn_thành mọi thứ mà vẫn giữ cuộc_sống ngăn_nắp chưa để giải_đáp những thắc_mắc ấy neuron tin rằng anh tun phạm sẽ là một người phù_hợp để chia_sẻ và giúp các bạn hướng tới một lối sống hiệu_quả hơn .,1,9
17,bạn thoát nick ra xong đăng_nhập lại thử coi ạ mình cũng bị thế phải đăng_nhập lại lần mới được á .,0,1
18,đi so_sánh vớ va vớ_vẩn chắc tự_dưng người_ta nhảy vào mình mà nói là hội_đồng rồi biến đây trở_thành môi_trường toxic mọi người đi đàn_áp người nghèo xấu xấu lùn lùn .,2,6
19,một buổi chiều chill chill ngồi nghĩ làm_sao để không bị đi tù .,0,3
20,nhanh lên không lại miss thông_tin .,0,4
21,mình pass ké quản_trị chất_lượng và quản_trị kinh_doanh .,0,2
22,tân_sinh_viên mới chào mọi người .,0,2
23,chị này đừng có làm hư các em .,0,3
24,điều gì đang chờ_đợi bạn khi gia_nhập levin decor .,0,5
25,tìm nguyên_lí kế_toán và kinh_tế quốc_tế ạ .,0,2
26,hay đi hơi phí .,1,3
27,hên vì tòi ra sớm năm .,1,3
28,thời_gian thực_hiện khoảng phút .,0,1
29,cơ_hội nhận được học_bổng và giảm nếu học tiếp thạc_sĩ tại dsu .,1,2
30,ai cho mình hỏi bài đăng_ký ở đâu từ khi nào được không .,0,4
31,lúc đầu mình có hơi run nên chưa chú_tâm nghe được .,2,6
32,nguyệt thanh .,0,3
33,thầy rất có tâm_huyết với sinh_viên thầy cũng giảng và hướng_dẫn rất đầy_đủ tuy lớp mất tiết khá nhiều .,1,2
34,chúc_mừng cháu cùng gia_đình cô nhé .,1,6
35,sự_cố như sau đang học thì tất_cả số đèn của nửa căn phòng đều tắt .,2,4
36,thầy dạy kỹ có tâm .,1,2
37,cảm_ơn quý thầy cô và nhà_trường đã dạy_dỗ các em trưởng_thành tìm được công_việc mà mình mong_muốn .,1,2
38,gửi ảnh được không .,0,3
