text,label1,,label2,rand
trường xịn quá ạ,1,,2,0.9964854608
dạ ơi còn pass văn phòng taekwondo không ạ,0,,4,0.5916791956
mọi người cho mình hỏi bạn nào lấy được bằng đợt trả bằng tháng rồi thì xem thông báo danh sách sinh viên nhận bằng tháng ở đâu vậy ạ,0,,2,0.1868692668
mình dần phát hiện ra là mọi chuyện đều có các giải quyết và cuối cùng mọi thứ cũng đều sẽ ổn cả thôi,1,,6,0.6536170545
em đăng kí xong cũng lưu nhưng chưa hiện dòng chúc mừng nhập học thành công thì sao ạ,0,,8,0.5756524316
no đó đừng chê,0,,3,0.4776615751
cần tìm karate size ạ,0,,,0.06839299704
gia đình truyền hình,0,,7,0.5670422915
còn slot không ạ,0,,3,0.8732879956
nhà mình đã có sinh viên neu,0,,3,0.9225696566
cuộc thi siêu xịn xò,1,,3,0.2347173642
em có đi không,0,,3,0.4040240865
là một người cũng aim học bổng cũng nhìn thấy người khác gian lận cũng gian lận và dc lập biên bản vì gian lận đây nên mình nói cho bạn như này,2,,2,0.5492187263
dẻo hơn cả,0,,3,0.2385542302
với không biết là sự kiện diễn ra đến mấy ạ,0,,9,0.9788006028
thế nhưng đâu là đúng đâu là sai là những điều khó có thể phân định rõ ràng khi chỉ căn cứ vào câu từ hình ảnh cắt ghép,0,,3,0.4045795917
thoải mái em ơi,0,,0,0.5029976004
mạnh mẽ lên em,1,,3,0.2318650703
tự hào sinh viên kinh tế quốc dân cơ sở vật khang trang sạch đẹp môi trường lí tưởng chất lượng cho sinh viên phát triển quá cơ,1,,4,0.7872474257
bước tìm kiếm sản phẩm và kiểm tra thông tin sản phẩm,0,,1,0.9682737704
mọi thông tin chi tiết xin liên hệ,0,,0,0.4677841957
cầu nguỵn,0,,3,0.330783109
lâm hoàng mai xịn quá,1,,6,0.2171770702
go,0,,3,0.9453620133
ké với taekwondo size ạ,0,,,0.842907447
mình hết nha,0,,3,0.803073144
em lướt bao nhiêu bài giờ mới thấy có bài không đăng ẩn danh anh ạ,0,,3,0.3451025924
bọn chất lượng cao có học đéo gì đâu buổi học có tí,3,,2,0.3372316655
nhắc sớm vào,0,,3,0.3079885133
asistant of photography lôi gia hiển,0,,6,0.8306876571
hạnh chi bao tiền,0,,6,0.7901707525
like mạnh,1,,3,0.668502042
hãy nhanh tay đăng ký để không bỏ lỡ cơ hội nhé,0,,9,0.4070084183
trường khác cũng được thi nhỉ,0,,1,0.4877728797
truyền thông siu vui mọi người ơi,1,,2,0.03774557252
tối qua phòng lao động thương binh xã hội huyện đoàn hội liên hiệp thanh niên huyện tân yên cùng đảng ủy hội đồng nhân dân ủy ban nhân dân xã phúc sơn huyện tân yên tỉnh bắc giang đã tổ chức lễ thắp nến tri ân kỷ niệm năm ngày thương binh liệt sỹ,0,,1,0.7745878698
chấm nước mắt theo nhịp,0,,3,0.3424636093
thế là hên rui có người hủy xong được không được thêm,2,,3,0.6025983367
thông tin talkshow,0,,1,0.4192008696
những hình ảnh buổi đầu tiên về công tác kiểm tra tiếng anh đầu khóa,0,,2,0.3862265224
cảm ơn đã rep nha hỏi lại mấy đứa chúng nó toàn muốn ế bền vững nên không mai mối được ạ,2,,8,0.6777598804
đừng có vắt kiệt chất xám của tao con chó,2,,6,0.07485156041
tín hiệu,0,,3,0.6399199816
mấy thằng vào trường kinh tế quốc dân đa phần là dùng tiền để có bằng ielts còn kiến thức chúng nó chả biết cái mẹ gì đâu,3,,2,0.6864143427
tại buổi lễ sau khi đại diện tập thể sư phạm trường nhận bó hoa tri ân tươi thắm của tân cử nhân phó giáo,0,,1,0.5102531052
thành công rực rỡ,1,,5,0.4668101056
thích ngam trang va ca sao nua,1,,3,0.1898839951
chị ơi xin giá à,0,,3,0.9653932415
mình có quản lý học,0,,2,0.9478531864
cậu để quên ô ở đâu thế,0,,3,0.5902226499
thương các quá,2,,6,0.3198621879
bây lên xin mượn đồ đội mũ chụp ảnh được không ạ,0,,3,0.6057735078
anh không tin chuyện này là thật,2,,3,0.3988651327
từ năm nhất tới năm rồi mà mình vẫn thấy nước vẫn vậy ó rất nhiều bài đăng về nước kí túc xá trước đó nhưng vẫn vậy các bạn ạ,2,,4,0.3703025531
trượt hết cái trên thì có được đỗ ạ,2,,2,0.521101571
mặc tạm size cậu,0,,2,0.892574425
nhìn là biết em làm,0,,3,0.2677491591
bản nâng cấp đáng tiền,1,,3,0.4840558625
nhận dịch vụ mang chăn đến trường,0,,4,0.6075449487
tiếp đón,0,,3,0.5619095114
mình ké với ạ,0,,0,0.1387396944
trong đó có tân cử nhân ngành ngân hàng tài chính rất đặc biệt bà trần thị lâm tuổi quê ở quảng ngãi,0,,2,0.1422378439
nghiện,0,,3,0.5669899154
chị ơi em không biết đánh cầu lông thì vào học từ đầu được không ạ,0,,2,0.5772384163
cô có dạy thạc sỹ không để đăng ký học lại với,0,,2,0.4247705762
ngoài ra khi nhắc đến cuộc thi go finance anh còn chia sẻ thêm,0,,7,0.912550809
có chứ sao,1,,3,0.3212339734
bằng chất lượng cao có dễ xin việc hơn ạ,1,,2,0.3535530985
mọi người ơi trường mình còn slot kí túc xá không ạ muốn đăng ký ở kí túc xá,0,,4,0.7609118327
và tất cả những thứ tôi và bạn đang ngồi bàn đáng lẽ đã không xảy ra nếu như chương trình học phổ thông xịn xò chút,0,,2,0.6662677027
thống kê trong kinh tế kinh doanh bản mới auth mới toanh không một vết mực được mang vào phòng thi pass không ạ,0,,2,0.4151337274
có điểm cái vào việc luôn nhé,0,,3,0.5375607139
đến tìm kiếm cơ hội thực tập đầu năm học luôn,0,,5,0.1295312835
có những đêm gần như thức trắng,0,,3,0.5712851537
giảm thêm điểm trung bình từ,0,,2,0.4406387941
dù tớ với teamate của mình đi về trắng tay nhưng trải nghiệm của bọn tớ có được thật sự khó quên tiếng bộ óc mệt mỏi và chiếc đề cần giải,1,,7,0.4958716069
chờ đến gần giờ đóng cổng đăng ký kiểu gì em cũng vớt được vài tín,1,,4,0.8186517856
giá phòng tháng chưa chia phòng gần nên vô cùng rộng rãi,0,,4,0.551680732
